epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2656.92,0.59724,0.3931,0.95026,0.84837,0.71451,0.76895,0.4876,1.0522,0.58289,1.00338,0.0005941,0.0005941,0.0005941
43,2718.16,0.56447,0.38028,0.95109,0.8736,0.66687,0.75766,0.47993,1.14129,0.63754,1.01221,0.0005842,0.0005842,0.0005842
44,2780.05,0.57245,0.38391,0.94761,0.87266,0.6867,0.76391,0.49171,1.09925,0.61264,1.02538,0.0005743,0.0005743,0.0005743
45,2841.61,0.57185,0.38754,0.9449,0.87459,0.69493,0.76517,0.5127,1.04824,0.60919,0.99909,0.0005644,0.0005644,0.0005644
46,2903.31,0.56121,0.38349,0.94965,0.84569,0.65349,0.75624,0.48507,1.05825,0.62987,0.97208,0.0005545,0.0005545,0.0005545
47,2967.52,0.55689,0.37579,0.93974,0.86175,0.69882,0.76963,0.48025,1.02522,0.58319,0.96223,0.0005446,0.0005446,0.0005446
48,3028.48,0.54863,0.37077,0.93839,0.79157,0.75855,0.77213,0.50037,1.0486,0.58831,0.9919,0.0005347,0.0005347,0.0005347
49,3089.89,0.54886,0.37407,0.94258,0.8107,0.69117,0.7572,0.48502,1.03227,0.58259,0.98071,0.0005248,0.0005248,0.0005248
50,3151.51,0.54271,0.36396,0.93526,0.88422,0.70037,0.76546,0.4949,1.03302,0.60348,0.9818,0.0005149,0.0005149,0.0005149
51,3213.27,0.54255,0.36806,0.93963,0.85475,0.73978,0.77922,0.50898,0.99665,0.5607,0.95933,0.000505,0.000505,0.000505
52,3275.03,0.5397,0.36476,0.93735,0.87145,0.74828,0.77969,0.50412,1.02724,0.57282,0.97668,0.0004951,0.0004951,0.0004951
53,3336.42,0.52836,0.35188,0.92877,0.81862,0.74209,0.76607,0.48419,1.02948,0.58745,1.02162,0.0004852,0.0004852,0.0004852
54,3397.9,0.52751,0.34691,0.92739,0.85119,0.65418,0.74813,0.48586,1.04653,0.55667,0.9885,0.0004753,0.0004753,0.0004753
55,3460.41,0.53333,0.35244,0.92758,0.83676,0.67479,0.76213,0.50626,0.97984,0.62208,0.97907,0.0004654,0.0004654,0.0004654
56,3522.01,0.52451,0.34858,0.93143,0.82492,0.65283,0.72381,0.47307,1.03022,0.58778,0.98531,0.0004555,0.0004555,0.0004555
57,3585.57,0.51853,0.34802,0.92727,0.78147,0.6883,0.74269,0.50332,0.94201,0.55977,0.96206,0.0004456,0.0004456,0.0004456
58,3647.14,0.51131,0.34,0.92886,0.75808,0.7537,0.7901,0.51721,0.96924,0.55278,0.95859,0.0004357,0.0004357,0.0004357
59,3708.18,0.5187,0.35208,0.93093,0.75928,0.72721,0.76305,0.51421,0.9892,0.58023,0.98424,0.0004258,0.0004258,0.0004258
60,3770.31,0.50627,0.33727,0.92248,0.83921,0.70206,0.76349,0.49383,1.01607,0.57605,0.97034,0.0004159,0.0004159,0.0004159
61,3831.5,0.50531,0.33428,0.91537,0.86139,0.66821,0.76041,0.51715,1.03184,0.60953,0.9758,0.000406,0.000406,0.000406
62,3893.26,0.49744,0.32746,0.916,0.79391,0.70245,0.75475,0.50477,1.00955,0.56402,0.98782,0.0003961,0.0003961,0.0003961
63,3954.45,0.49798,0.33313,0.91775,0.86381,0.6745,0.74906,0.50724,0.96655,0.55929,0.98348,0.0003862,0.0003862,0.0003862
64,4015.69,0.48838,0.32748,0.91314,0.83107,0.68503,0.74665,0.50936,0.98602,0.56568,0.97701,0.0003763,0.0003763,0.0003763
65,4077.03,0.49603,0.33109,0.91538,0.77431,0.6867,0.747,0.50496,0.94266,0.55223,0.95332,0.0003664,0.0003664,0.0003664
66,4138.37,0.48372,0.32253,0.91311,0.84967,0.66576,0.76833,0.52623,0.99042,0.54279,0.96875,0.0003565,0.0003565,0.0003565
67,4199.69,0.47656,0.3193,0.91067,0.89998,0.67178,0.74932,0.50044,0.9615,0.54578,0.95529,0.0003466,0.0003466,0.0003466
68,4261.01,0.47534,0.31143,0.90695,0.84059,0.68078,0.75433,0.50136,0.98498,0.53243,0.97264,0.0003367,0.0003367,0.0003367
69,4321.96,0.46782,0.31124,0.91181,0.86273,0.6719,0.74944,0.50816,0.95661,0.55754,0.95862,0.0003268,0.0003268,0.0003268
70,4383.78,0.46635,0.30759,0.90689,0.83668,0.69809,0.75021,0.50217,0.93787,0.52961,0.94655,0.0003169,0.0003169,0.0003169
71,4444.57,0.46456,0.30177,0.90905,0.76345,0.74642,0.77974,0.53892,0.96303,0.54433,0.97169,0.000307,0.000307,0.000307
72,4506.2,0.45798,0.30478,0.90656,0.87134,0.69919,0.75349,0.5119,0.96903,0.54864,0.95651,0.0002971,0.0002971,0.0002971
73,4567.71,0.44925,0.29932,0.90574,0.82171,0.67878,0.76737,0.53108,0.96215,0.55557,0.9678,0.0002872,0.0002872,0.0002872
74,4629.05,0.44894,0.29844,0.89966,0.78241,0.70727,0.75406,0.51922,0.96004,0.52263,0.98548,0.0002773,0.0002773,0.0002773
75,4690.58,0.45865,0.3067,0.90578,0.86056,0.72197,0.77634,0.52745,0.9807,0.54617,0.99249,0.0002674,0.0002674,0.0002674
76,4753.03,0.4453,0.29811,0.9039,0.82448,0.71664,0.75379,0.5043,0.99685,0.53997,0.9934,0.0002575,0.0002575,0.0002575
77,4816.35,0.43796,0.29462,0.89518,0.81318,0.73894,0.78069,0.5165,0.99634,0.58588,0.98634,0.0002476,0.0002476,0.0002476
78,4877.81,0.43152,0.28473,0.89488,0.89185,0.69942,0.76943,0.51761,1.01108,0.56148,0.99158,0.0002377,0.0002377,0.0002377
79,4939.01,0.4415,0.29113,0.9025,0.90772,0.68625,0.79018,0.53288,0.96423,0.53432,0.97274,0.0002278,0.0002278,0.0002278
